omega*t					L0, analytically					L0, numerically					Lprime					( Lprime - L0 ) / L0					dL_f/L0					dL_dot/L0
0					8.16395021977978e+32					8.16395019607302e+32					8.1639855167006e+32					4.32641389601467e-06					4.326413051568e-06					8.11889852771691e-13
0.0628318530717959					8.16395021977978e+32					8.16395019607302e+32					8.16396460615125e+32					1.76508649353242e-06					1.76508550090279e-06					6.97890721499674e-13
0.125663706143592					8.16395021977978e+32					8.16395019607302e+32					8.16394346834365e+32					-8.24077708996862e-07					-8.24078502522014e-07					5.7288543664351e-13
0.188495559215388					8.16395021977978e+32					8.16395019607302e+32					8.16392243663727e+32					-3.40024560260651e-06					-3.4002462956815e-06					4.38845406249659e-13
0.251327412287183					8.16395021977978e+32					8.16395019607302e+32					8.16390184271352e+32					-5.92278962360598e-06					-5.92279017354967e-06					2.97884521599821e-13
0.314159265358979					8.16395021977978e+32					8.16395019607302e+32					8.16388201135044e+32					-8.35192779767858e-06					-8.35192811227668e-06					1.5222582012041e-13
0.376991118430775					8.16395021977978e+32					8.16395019607302e+32					8.16386325530072e+32					-1.06493511376354e-05					-1.06493511554748e-05					4.16642652063529e-15
0.439822971502571					8.16395021977978e+32					8.16395019607302e+32					8.16384587036077e+32					-1.27788276194838e-05					-1.2778827569332e-05					-1.43958674110976e-13
0.502654824574367					8.16395021977978e+32					8.16395019607302e+32					8.16383013069806e+32					-1.47067745493447e-05					-1.47067742387273e-05					-2.89813460460453e-13
0.565486677646163					8.16395021977978e+32					8.16395019607302e+32					8.16381628454059e+32					-1.64027865454807e-05					-1.64027862929735e-05					-4.31097715392433e-13
0.628318530717959					8.16395021977978e+32					8.16395019607302e+32					8.16380455024745e+32					-1.78401168646011e-05					-1.78401166088265e-05					-5.65583301856908e-13
0.691150383789754					8.16395021977978e+32					8.16395019607302e+32					8.16379511287353e+32					-1.89960981840604e-05					-1.89960976285902e-05					-6.91149301778547e-13
0.75398223686155					8.16395021977978e+32					8.16395019607302e+32					8.16378812125522e+32					-1.98524995752745e-05					-1.98524988410383e-05					-8.05815464336412e-13
0.816814089933346					8.16395021977978e+32					8.16395019607302e+32					8.16378368565507e+32					-2.03958150110589e-05					-2.03958142874485e-05					-9.07773435652113e-13
0.879645943005142					8.16395021977978e+32					8.16395019607302e+32					8.16378187602333e+32					-2.0617476301179e-05					-2.06174755586815e-05					-9.95415277598419e-13
0.942477796076938					8.16395021977978e+32					8.16395019607302e+32					8.16378272089858e+32					-2.05139877662018e-05					-2.05139869240658e-05					-1.06735882601061e-12
1.00530964914873					8.16395021977978e+32					8.16395019607302e+32					8.1637862069565e+32					-2.00869814967576e-05					-2.00869804611943e-05					-1.12246948810019e-12
1.06814150222053					8.16395021977978e+32					8.16395019607302e+32					8.1637922792224e+32					-1.93431913268568e-05					-1.93431903170791e-05					-1.15987813583337e-12
1.13097335529233					8.16395021977978e+32					8.16395019607302e+32					8.16380084193193e+32					-1.82943474063838e-05					-1.82943465065964e-05					-1.17899481249669e-12
1.19380520836412					8.16395021977978e+32					8.16395019607302e+32					8.1638117600431e+32					-1.69569909912977e-05					-1.69569899231892e-05					-1.1795180366772e-12
1.25663706143592					8.16395021977978e+32					8.16395019607302e+32					8.1638248613755e+32					-1.53522124110005e-05					-1.53522114790853e-05					-1.16143955678266e-12
1.31946891450771					8.16395021977978e+32					8.16395019607302e+32					8.16383993930844e+32					-1.35053205784556e-05					-1.35053194889825e-05					-1.12504448129702e-12
1.38230076757951					8.16395021977978e+32					8.16395019607302e+32					8.16385675605984e+32					-1.14454413538543e-05					-1.14454405428563e-05					-1.07090678225276e-12
1.4451326206513					8.16395021977978e+32					8.16395019607302e+32					8.163875046413e+32					-9.20506105697311e-06					-9.20506016219256e-06					-9.99880243506613e-13
1.5079644737231					8.16395021977978e+32					8.16395019607302e+32					8.1638945219243e+32					-6.81951106846897e-06					-6.81951048393525e-06					-9.13084996100459e-13
1.5707963267949					8.16395021977978e+32					8.16395019607302e+32					8.16391487544615e+32					-4.32641381004637e-06					-4.32641305156801e-06					-8.11889852772095e-13
1.63362817986669					8.16395021977978e+32					8.16395019607302e+32					8.16393578599896e+32					-1.76508598425406e-06					-1.76508550090278e-06					-6.97890721500916e-13
1.69646003293849					8.16395021977978e+32					8.16395019607302e+32					8.16395692380589e+32					8.24078136367023e-07					8.24078502522009e-07					-5.7288543664361e-13
1.75929188601028					8.16395021977978e+32					8.16395019607302e+32					8.16397795551124e+32					3.40024590446647e-06					3.4002462956815e-06					-4.38845406248924e-13
1.82212373908208					8.16395021977978e+32					8.16395019607302e+32					8.16399854943613e+32					5.9227900647452e-06					5.92279017354967e-06					-2.97884521599566e-13
1.88495559215388					8.16395021977978e+32					8.16395019607302e+32					8.16401838079774e+32					8.3519280589375e-06					8.35192811227667e-06					-1.52225820120367e-13
1.94778744522567					8.16395021977978e+32					8.16395019607302e+32					8.16403713684742e+32					1.06493513932454e-05					1.06493511554748e-05					-4.16642652067244e-15
2.01061929829747					8.16395021977978e+32					8.16395019607302e+32					8.16405452178823e+32					1.27788279813627e-05					1.2778827569332e-05					1.43958674110448e-13
2.07345115136926					8.16395021977978e+32					8.16395019607302e+32					8.16407026144913e+32					1.470677468933e-05					1.47067742387273e-05					2.898134604608e-13
2.13628300444106					8.16395021977978e+32					8.16395019607302e+32					8.16408410760965e+32					1.64027870589957e-05					1.64027862929735e-05					4.3109771539162e-13
2.19911485751286					8.16395021977978e+32					8.16395019607302e+32					8.1640958419022e+32					1.78401173059168e-05					1.78401166088264e-05					5.65583301857683e-13
2.26194671058465					8.16395021977978e+32					8.16395019607302e+32					8.16410527927509e+32					1.89960984989833e-05					1.89960976285902e-05					6.91149301779365e-13
2.32477856365645					8.16395021977978e+32					8.16395019607302e+32					8.16411227089283e+32					1.98524998208225e-05					1.98524988410383e-05					8.05815464335694e-13
2.38761041672824					8.16395021977978e+32					8.16395019607302e+32					8.16411670649496e+32					2.03958154988011e-05					2.03958142874485e-05					9.07773435652072e-13
2.45044226980004					8.16395021977978e+32					8.16395019607302e+32					8.16411851612691e+32					2.06174768148706e-05					2.06174755586815e-05					9.95415277598513e-13
2.51327412287183					8.16395021977978e+32					8.16395019607302e+32					8.16411767125094e+32					2.05139881907475e-05					2.05139869240658e-05					1.06735882601147e-12
2.57610597594363					8.16395021977978e+32					8.16395019607302e+32					8.16411418519143e+32					2.00869817267714e-05					2.00869804611943e-05					1.12246948810003e-12
2.63893782901543					8.16395021977978e+32					8.16395019607302e+32					8.16410811292593e+32					1.93431916064744e-05					1.93431903170791e-05					1.15987813583373e-12
2.70176968208722					8.16395021977978e+32					8.16395019607302e+32					8.16409955021906e+32					1.82943480120456e-05					1.82943465065964e-05					1.17899481249636e-12
2.76460153515902					8.16395021977978e+32					8.16395019607302e+32					8.16408863210549e+32					1.69569913023371e-05					1.69569899231893e-05					1.17951803667591e-12
2.82743338823081					8.16395021977978e+32					8.16395019607302e+32					8.16407553077252e+32					1.53522126528415e-05					1.53522114790853e-05					1.16143955678289e-12
2.89026524130261					8.16395021977978e+32					8.16395019607302e+32					8.16406045284006e+32					1.35053208787268e-05					1.35053194889825e-05					1.12504448129656e-12
2.95309709437441					8.16395021977978e+32					8.16395019607302e+32					8.16404363608888e+32					1.14454416806045e-05					1.14454405428563e-05					1.07090678225332e-12
3.0159289474462					8.16395021977978e+32					8.16395019607302e+32					8.16402534573501e+32					9.20506129740193e-06					9.20506016219256e-06					9.99880243507517e-13
3.078760800518					8.16395021977978e+32					8.16395019607302e+32					8.16400587022588e+32					6.81951157404027e-06					6.81951048393526e-06					9.13084996101093e-13
3.14159265358979					8.16395021977978e+32					8.16395019607302e+32					8.1639855167006e+32					4.32641389601467e-06					4.32641305156801e-06					8.11889852772087e-13
3.20442450666159					8.16395021977978e+32					8.16395019607302e+32					8.16396460615125e+32					1.76508649353242e-06					1.76508550090278e-06					6.97890721500015e-13
3.26725635973339					8.16395021977978e+32					8.16395019607302e+32					8.16394346834365e+32					-8.24077708996862e-07					-8.2407850252201e-07					5.72885436643404e-13
3.33008821280518					8.16395021977978e+32					8.16395019607302e+32					8.16392243663727e+32					-3.40024560260651e-06					-3.40024629568151e-06					4.38845406249829e-13
