omega*t					L0, analytically					L0, numerically					Lprime					( Lprime - L0 ) / L0					dL_f/L0					dL_dot/L0
0					7.95985146428528e+32					7.9598514441357e+32					7.95988690061035e+32					4.45441411777341e-06					4.4544134328339e-06					7.07801409851818e-13
0.0628318530717959					7.95985146428528e+32					7.9598514441357e+32					7.95986590963606e+32					1.81730783053002e-06					1.81730696343762e-06					6.08417551867217e-13
0.125663706143592					7.95985146428528e+32					7.9598514441357e+32					7.95984469052844e+32					-8.48458957084763e-07					-8.48459522378183e-07					4.99438585610773e-13
0.188495559215388					7.95985146428528e+32					7.9598514441357e+32					7.95982357793035e+32					-3.50084490163121e-06					-3.50084529468127e-06					3.82583174514763e-13
0.251327412287183					7.95985146428528e+32					7.9598514441357e+32					7.95980290479913e+32					-6.09802040956882e-06					-6.09802064538278e-06					2.59694198216254e-13
0.314159265358979					7.95985146428528e+32					7.9598514441357e+32					7.95978299716405e+32					-8.59902626627743e-06					-8.59902656772598e-06					1.32709689284651e-13
0.376991118430775					7.95985146428528e+32					7.9598514441357e+32					7.95976416897708e+32					-1.09644205330504e-05					-1.09644207042875e-05					3.63226927382388e-15
0.439822971502571					7.95985146428528e+32					7.9598514441357e+32					7.95974671717164e+32					-1.31568993205496e-05					-1.31568993765158e-05					-1.25502433796931e-13
0.502654824574367					7.95985146428528e+32					7.9598514441357e+32					7.95973091697141e+32					-1.51418861432959e-05					-1.51418858860213e-05					-2.52657888507812e-13
0.565486677646163					7.95985146428528e+32					7.9598514441357e+32					7.95971701755983e+32					-1.6888075965925e-05					-1.68880758097865e-05					-3.75828777389458e-13
0.628318530717959					7.95985146428528e+32					7.9598514441357e+32					7.95970523813399e+32					-1.83679309507624e-05					-1.83679306895758e-05					-4.93072621951034e-13
0.691150383789754					7.95985146428528e+32					7.9598514441357e+32					7.9596957644632e+32					-1.95581128098272e-05					-1.9558112329927e-05					-6.0254041672529e-13
0.75398223686155					7.95985146428528e+32					7.9598514441357e+32					7.95968874595413e+32					-2.04398515115926e-05					-2.0439850855383e-05					-7.02505789152299e-13
